City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,East London,ZA,2020-02-23 02:12:06,-33.02,27.91,67.21,67,92,17.0
111,Nabire,ID,2020-02-23 02:12:06,-3.37,135.48,90.66,54,78,3.78
112,Ponta Do Sol,PT,2020-02-23 02:09:37,32.67,-17.1,70.0,72,20,20.8
113,Sambava,MG,2020-02-23 02:12:07,-14.27,50.17,74.12,87,99,2.28
114,Carnarvon,AU,2020-02-23 02:12:07,-24.87,113.63,80.6,65,0,5.82
115,Lagoa,PT,2020-02-23 02:10:13,39.05,-27.98,58.55,77,0,13.73
116,Severo-Kurilsk,RU,2020-02-23 02:12:07,50.68,156.12,18.55,85,100,12.68
117,Kodar,IN,2020-02-23 02:12:07,16.98,79.97,73.45,78,7,5.19
118,Severobaykalsk,RU,2020-02-23 02:12:08,55.65,109.32,16.5,88,98,3.0
119,Puerto Madero,MX,2020-02-23 02:12:08,14.72,-92.42,82.4,69,5,2.24
120,Mujiayingzi,CN,2020-02-23 02:10:21,42.12,118.78,37.89,37,100,13.11
121,Karratha,AU,2020-02-23 02:12:09,-20.74,116.85,82.11,68,8,16.55
122,Ipixuna,BR,2020-02-23 02:12:09,-1.76,-48.8,78.8,94,75,8.05
123,Ostrovnoy,RU,2020-02-23 02:12:09,68.05,39.51,30.06,90,100,22.26
124,Butaritari,KI,2020-02-23 02:12:09,3.07,172.79,84.38,77,41,12.08
125,Taoudenni,ML,2020-02-23 02:12:10,22.68,-3.98,73.22,15,62,13.76
126,Luwuk,ID,2020-02-23 02:12:10,-0.95,122.79,85.17,70,100,10.13
127,Albox,ES,2020-02-23 02:12:10,37.39,-2.15,53.6,54,65,9.17
128,Igrim,RU,2020-02-23 02:12:11,63.19,64.42,21.81,90,52,11.63
129,Mayya,RU,2020-02-23 02:12:11,61.73,130.28,-16.6,75,100,2.24
130,Castro,BR,2020-02-23 02:12:11,-24.79,-50.01,57.97,90,79,9.42
131,Richards Bay,ZA,2020-02-23 02:08:41,-28.78,32.04,79.32,73,100,32.1
132,Hithadhoo,MV,2020-02-23 02:12:12,-0.6,73.08,83.25,79,100,17.49
133,Santa Marta,CO,2020-02-23 02:07:35,11.24,-74.2,80.6,65,40,17.22
134,Shingu,JP,2020-02-23 02:12:12,33.73,135.98,51.8,50,40,17.22
135,Helong,CN,2020-02-23 02:12:12,42.54,129.0,26.02,66,52,8.52
136,Asau,RO,2020-02-23 02:12:12,46.43,26.4,36.0,74,100,9.17
137,Paramonga,PE,2020-02-23 02:12:13,-10.67,-77.83,72.16,83,100,6.4
138,Pundaguitan,PH,2020-02-23 02:12:13,6.37,126.17,80.58,76,7,9.13
139,Santa Cruz De Tenerife,ES,2020-02-23 02:09:02,28.47,-16.25,70.0,52,20,21.92
140,Necochea,AR,2020-02-23 02:12:13,-38.55,-58.74,55.0,92,0,3.0
141,Tadine,NC,2020-02-23 02:10:34,-21.55,167.88,82.2,64,42,12.82
142,Iqaluit,CA,2020-02-23 02:12:14,63.75,-68.51,-31.0,59,20,3.36
143,Tautira,PF,2020-02-23 02:12:14,-17.73,-149.15,86.0,70,40,14.99
144,Yerbogachen,RU,2020-02-23 02:12:14,61.28,108.01,14.9,94,95,6.4
145,Souillac,MU,2020-02-23 02:09:36,-20.52,57.52,75.2,94,40,3.36
146,Acajutla,SV,2020-02-23 02:12:15,13.59,-89.83,83.01,71,0,12.75
147,Mehamn,NO,2020-02-23 02:09:50,71.04,27.85,25.92,86,0,11.97
148,Sarahan,IN,2020-02-23 02:12:16,31.52,77.8,19.11,57,0,12.06
149,Bluff,NZ,2020-02-23 02:12:16,-46.6,168.33,60.01,78,70,18.99
150,Bethel,US,2020-02-23 02:12:16,41.37,-73.41,39.99,58,5,4.23
151,Marjamaa,EE,2020-02-23 02:12:17,58.9,24.43,39.99,76,20,21.92
152,Shenjiamen,CN,2020-02-23 02:12:17,29.96,122.3,51.08,61,0,9.6
153,Qaanaaq,GL,2020-02-23 02:12:17,77.48,-69.36,-13.34,83,98,2.57
154,Ajaccio,FR,2020-02-23 02:09:56,42.0,8.92,48.2,87,46,9.17
155,Beyneu,KZ,2020-02-23 02:12:17,45.32,55.2,33.6,85,100,9.31
156,Ndjole,GA,2020-02-23 02:12:18,-0.18,10.76,74.12,98,100,2.37
157,Loikaw,MM,2020-02-23 02:12:18,19.67,97.21,74.82,37,42,5.19
158,Itoman,JP,2020-02-23 02:12:18,26.12,127.67,68.0,52,20,13.87
159,Minsk,BY,2020-02-23 02:12:18,53.9,27.57,39.2,86,75,13.42
160,Popondetta,PG,2020-02-23 02:12:19,-8.75,148.25,87.49,65,42,3.98
161,Sabha,LY,2020-02-23 02:12:19,27.04,14.43,49.87,54,0,9.22
162,Zhangye,CN,2020-02-23 02:10:39,38.93,100.45,48.87,12,0,3.56
163,Lompoc,US,2020-02-23 02:12:19,34.64,-120.46,59.0,82,90,11.41
164,Alfonsine,IT,2020-02-23 02:12:20,44.51,12.06,45.0,87,65,2.24
165,Blagoyevo,RU,2020-02-23 02:12:20,63.37,47.92,30.97,89,100,18.68
166,Valdivia,CL,2020-02-23 02:12:20,-39.81,-73.25,53.6,93,0,2.24
167,Victoria,HK,2020-02-23 02:10:12,22.29,114.16,72.0,52,20,13.87
168,Bay Roberts,CA,2020-02-23 02:12:21,47.6,-53.26,28.0,79,90,16.11
169,Moose Factory,CA,2020-02-23 02:12:21,51.26,-80.61,23.0,85,90,10.29
